Model,New T2I,AUC-PR,F1 Score
2024-10-17-09-56,0.28125,0.0166023543394405,
2024-10-17-16-45,0.2903225806451613,0.0161730251761719,
2024-10-17-16-57,0.2894736842105263,0.0157375589057145,
2024-10-17-17-08,0.2826086956521739,0.0155948686917007,
2024-10-17-17-21,0.2978723404255319,0.0163047511587983,
2024-10-17-17-32,0.2857142857142857,0.0163838014080805,
2024-10-17-17-39,0.2884615384615384,0.0156351981902608,
2024-10-17-17-46,0.3333333333333333,0.0176029410000722,
2024-10-17-17-58,0.2631578947368421,0.0168891500627754,
2024-10-17-18-11,0.3846153846153846,0.0166042045902817,
2024-10-17-18-19,0.2727272727272727,0.0157123078822438,
2024-10-17-18-26,0.2941176470588235,0.0156220135883406,
2024-10-17-18-35,0.3846153846153846,0.0180741103115504,
2024-10-17-18-47,0.3333333333333333,0.0162600583123825,
2024-10-17-18-58,0.3125,0.0161765795889184,
2024-10-17-19-10,0.3846153846153846,0.0175860004317001,
2024-10-17-19-20,0.2857142857142857,0.0167712432286023,
2024-10-17-19-33,0.3571428571428571,0.0166072285215409,
2024-10-17-19-43,0.3,0.0156171395144781,
2024-10-17-19-55,0.2962962962962963,0.0167034655298183,
2024-10-17-20-03,0.2777777777777778,0.0169059257569747,
2024-10-17-20-16,0.2377049180327868,0.0162272412393218,
2024-10-17-20-26,0.2884615384615384,0.0156369479050149,
2024-10-17-20-38,0.2608695652173913,0.0160600188837567,
2024-10-17-20-48,0.3125,0.0163793446107613,
2024-10-17-20-56,0.3333333333333333,0.0170047306875646,
2024-10-17-21-05,0.3846153846153846,0.0174848339635878,
2024-10-17-21-11,0.3181818181818182,0.0171065028188279,
2024-10-17-21-21,0.2857142857142857,0.0168555820721368,
2024-10-17-21-32,0.2777777777777778,0.0154389817850831,
2024-10-17-21-41,0.2631578947368421,0.0164584357182636,
2024-10-17-21-49,0.2978723404255319,0.0159123374525888,
2024-10-17-21-59,0.32,0.0155227842557773,
2024-10-17-22-04,0.3181818181818182,0.0179528069912029,
2024-10-17-22-11,0.3125,0.0164628644437254,
2024-10-17-22-17,0.3043478260869565,0.0155060780745426,
2024-10-17-22-24,0.2631578947368421,0.0160058059206647,
2024-10-17-22-32,0.2894736842105263,0.0159421980406679,
2024-10-17-22-38,0.2857142857142857,0.0152192547454287,
2024-10-17-22-45,0.3125,0.0176150911459575,
2024-10-17-22-54,0.3,0.0156053712267636,
2024-10-17-23-06,0.2727272727272727,0.0164863523828644,
2024-10-17-23-18,0.2903225806451613,0.0159821496365036,
2024-10-17-23-26,0.3125,0.0181990916307417,
2024-10-18-01-02,0.3333333333333333,0.0183303396251067,
2024-10-18-01-11,0.3125,0.0174508825169179,
2024-10-18-01-21,0.3333333333333333,0.0179723676334954,
2024-10-18-01-28,0.3125,0.0163934109801898,
2024-10-18-01-37,0.5555555555555556,0.0178923311549036,
2024-10-18-01-47,0.3333333333333333,0.0174319904889991,
2024-10-18-03-13,0.2758620689655172,0.0165629027836932,
2024-10-18-03-24,0.3846153846153846,0.0177078657333219,
2024-10-18-09-45,0.2884615384615384,0.0156298869169219,
2024-10-18-10-59,0.3333333333333333,0.0168232649534295,
2024-10-18-11-12,0.1016949152542373,0.0077897975440125,
2024-10-18-13-21,0.1183317167798254,0.0118132033786546,
2024-10-18-13-35,0.160377358490566,0.0145652983419697,
2024-10-18-13-36,0.1589403973509933,0.0145652983419697,
2024-10-22-11-40,0.25,0.0227961213579607,
2024-10-22-11-41,0.2395833333333333,0.0227961213579607,
2024-10-22-11-41,0.2753623188405797,0.0227961213579607,
2024-10-22-11-44,0.2395833333333333,0.0227961213579607,
2024-10-22-11-44,0.1648351648351648,0.0227961213579607,
2024-10-22-11-44,0.2395833333333333,0.0227961213579607,
2024-10-22-11-44,0.1648351648351648,0.0227961213579607,
2024-10-22-11-44,0.2004889975550122,0.0227961213579607,
2024-10-22-11-44,0.2395833333333333,0.0227961213579607,
2024-10-22-11-44,0.2610837438423645,0.0227961213579607,
2024-10-22-11-44,0.2753623188405797,0.0227961213579607,
2024-10-22-11-44,0.2826086956521739,0.0227961213579607,
2024-10-22-11-44,0.1648351648351648,0.0227961213579607,
2024-10-22-11-44,0.2004889975550122,0.0227961213579607,
2024-10-22-11-44,0.2395833333333333,0.0227961213579607,
2024-10-22-11-44,0.2610837438423645,0.0227961213579607,
2024-10-22-11-44,0.2753623188405797,0.0227961213579607,
2024-10-22-11-44,0.2826086956521739,0.0227961213579607,
2024-10-22-11-44,0.3214285714285714,0.0227961213579607,
2024-10-22-13-16,0.1648351648351648,0.0227961213579607,
2024-10-22-13-16,0.2004889975550122,0.0227961213579607,
2024-10-22-13-16,0.2395833333333333,0.0227961213579607,
2024-10-22-13-16,0.2610837438423645,0.0227961213579607,
2024-10-22-13-16,0.2753623188405797,0.0227961213579607,
2024-10-22-13-16,0.2826086956521739,0.0227961213579607,
2024-10-22-13-16,0.3214285714285714,0.0227961213579607,
2024-10-22-13-16,0.1648351648351648,0.0227961213579607,
2024-10-22-13-16,0.2004889975550122,0.0227961213579607,
2024-10-22-13-16,0.2395833333333333,0.0227961213579607,
2024-10-22-13-16,0.2610837438423645,0.0227961213579607,
2024-10-22-13-16,0.2753623188405797,0.0227961213579607,
2024-10-22-13-16,0.2826086956521739,0.0227961213579607,
2024-10-22-13-16,0.3214285714285714,0.0227961213579607,
2024-10-22-13-16,0.3703703703703703,0.0227961213579607,
2024-10-22-13-16,0.1648351648351648,0.0227961213579607,
2024-10-22-13-16,0.2004889975550122,0.0227961213579607,
2024-10-22-13-16,0.2395833333333333,0.0227961213579607,
2024-10-22-13-16,0.2610837438423645,0.0227961213579607,
2024-10-22-13-16,0.2753623188405797,0.0227961213579607,
2024-10-22-13-16,0.2826086956521739,0.0227961213579607,
2024-10-22-13-16,0.3214285714285714,0.0227961213579607,
2024-10-22-13-16,0.3703703703703703,0.0227961213579607,
2024-10-22-13-16,0.3846153846153846,0.0227961213579607,
2024-10-22-13-16,0.4,0.0227961213579607,
2024-10-22-13-47,0.1496212121212121,0.0175866199348579,
2024-10-22-13-47,0.175438596491228,0.0175866199348579,
2024-10-22-13-47,0.171875,0.0175866199348579,
2024-10-22-13-47,0.2525252525252525,0.0175866199348579,
2024-10-22-13-47,0.2307692307692307,0.0175866199348579,
2024-10-22-13-47,0.2857142857142857,0.0175866199348579,
2024-10-22-13-47,0.3333333333333333,0.0175866199348579,
2024-10-22-13-47,0.4,0.0175866199348579,
2024-10-22-13-47,0.2857142857142857,0.0175866199348579,
2024-10-22-13-47,0.3333333333333333,0.0175866199348579,
2024-10-24-16-39,0.1234140715109573,0.0127274960460854,
2024-10-24-16-39,0.140625,0.0127274960460854,
2024-10-24-16-39,0.1586452762923351,0.0127274960460854,
2024-10-24-16-39,0.1798029556650246,0.0127274960460854,
2024-10-24-16-39,0.1903114186851211,0.0127274960460854,
2024-10-24-16-39,0.2307692307692307,0.0127274960460854,
2024-10-24-16-39,0.2068965517241379,0.0127274960460854,
2024-10-24-16-39,0.2293577981651376,0.0127274960460854,
2024-10-24-16-39,0.2125,0.0127274960460854,
2024-10-24-16-39,0.1666666666666666,0.0127274960460854,
2024-10-25-10-06,0.1393229166666666,0.0221681172827593,
2024-10-25-10-06,0.1478260869565217,0.0221681172827593,
2024-10-25-10-06,0.1650326797385621,0.0221681172827593,
2024-10-25-10-06,0.1785063752276867,0.0221681172827593,
2024-10-25-10-06,0.1875,0.0221681172827593,
2024-10-25-10-06,0.1932773109243697,0.0221681172827593,
2024-10-25-10-06,0.2083333333333333,0.0221681172827593,
2024-10-25-10-06,0.2137404580152671,0.0221681172827593,
2024-10-25-10-06,0.228169014084507,0.0221681172827593,
2024-10-25-10-06,0.2414860681114551,0.0221681172827593,
